"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"寄","5年","6級から","11","キ","よ（る）・よ（せる）","寄港（きこう）・寄宿舎（きしゅくしゃ）・寄宿（きしゅく）","宀","","","未校正",""
"規","5年","6級から","11","キ","","規模（きぼ）・規則（きそく）・規格（きかく）・規律（きりつ）・定規（じょうぎ）","見","","","未校正",""
"喜","5年","6級から","12","キ","よろこ（ぶ）","喜劇（きげき）・悲喜（ひき）・喜捨（きしゃ）","","","","未校正",""
"技","5年","6級から","7","ギ","わざ","技術（ぎじゅつ）・競技（きょうぎ）・演技（えんぎ）・技師（ぎし）・特技（とくぎ）","扌","手","","未校正","業"
"義","5年","6級から","13","ギ","","義務（ぎむ）・講義（こうぎ）・意義（いぎ）・正義（せいぎ）・義理（ぎり）","羊","","","未校正",""
"逆","5年","6級から","9","ギャク","さか・さか（らう）","逆転（ぎゃくてん）・逆境（ぎゃっきょう）・逆上（ぎゃくじょう）・順逆（じゅんぎゃく）","⻌","辶","","未校正",""
"久","5年","6級から","3","キュウ・ク","ひさ（しい）","永久（えいきゅう）・持久（じきゅう）・久遠（くおん）","丿","","","未校正",""
"旧","5年","6級から","5","キュウ","","復旧（ふっきゅう）・新旧（しんきゅう）・旧道（きゅうどう）","","","","未校正",""
"救","5年","6級から","11","キュウ","すく（う）","救済（きゅうさい）・救急（きゅうきゅう）・救助（きゅうじょ）・救護（きゅうご）・救護班（きゅうごはん）","攵","攴","","未校正",""
"居","5年","6級から","8","キョ","い（る）","居住（きょじゅう）・住居（じゅうきょ）・鳥居（とりい）・居室（きょしつ）・居候（いそうろう）","尸","","","未校正",""
"許","5年","6級から","11","キョ","ゆる（す）","特許（とっきょ）・許可（きょか）","言","","","未校正",""
"境","5年","6級から","14","キョウ・ケイ","さかい","境界（きょうかい）・境内（けいだい）・境地（きょうち）・辺境（へんきょう）・境目（さかいめ）","土","","","未校正",""
"均","5年","6級から","7","キン","","平均（へいきん）・均等（きんとう）・均一（きんいつ）","土","","","未校正",""
"禁","5年","6級から","13","キン","","禁止（きんし）・解禁（かいきん）・厳禁（げんきん）・禁物（きんもつ）","示","","","未校正",""
"句","5年","6級から","5","ク","","俳句（はいく）・節句（せっく）・句読点（くとうてん）・字句（じく）・句集（くしゅう）","","","","未校正",""
"型","5年","6級から","9","ケイ","かた","大型（おおがた）・典型（てんけい）・小型（こがた）・模型（もけい）・類型（るいけい）","土","","","未校正","形"
"経","5年","6級から","11","ケイ・キョウ","へ（る）","経済（けいざい）・経験（けいけん）・経営（けいえい）・経費（けいひ）・神経（しんけい）","糸","","","未校正",""
"潔","5年","6級から","15","ケツ","いさぎよ（い）","清潔（せいけつ）・潔白（けっぱく）・純潔（じゅんけつ）","氵","水","","未校正",""
"件","5年","6級から","6","ケン","","事件（じけん）・条件（じょうけん）・件数（けんすう）","亻","人","","未校正",""
"険","5年","6級から","11","ケン","けわ（しい）","保険（ほけん）・危険（きけん）・険悪（けんあく）","⻖","阜","","未校正",""
"検","5年","6級から","12","ケン","","検討（けんとう）・検査（けんさ）・点検（てんけん）","木","","","未校正",""
"限","5年","6級から","9","ゲン","かぎ（る）","制限（せいげん）・限界（げんかい）・期限（きげん）・限度（げんど）・極限（きょくげん）","⻖","阜","","未校正",""
"現","5年","6級から","11","ゲン","あらわ（れる）・あらわ（す）","現在（げんざい）・表現（ひょうげん）・現代（げんだい）・現象（げんしょう）・出現（しゅつげん）","王","玉","","未校正","表れる・表す・著す"
"減","5年","6級から","12","ゲン","へ（る）・へ（らす）","減少（げんしょう）・加減（かげん）・増減（ぞうげん）","氵","水","","未校正",""
"故","5年","6級から","9","コ","ゆえ","事故（じこ）・故障（こしょう）・故郷（くに）・故意（こい）","攵","攴","","未校正",""
"個","5年","6級から","10","コ","","個人（こじん）・個性（こせい）・一個（いっこ）","亻","人","","未校正",""
"護","5年","6級から","20","ゴ","","保護（ほご）・看護（かんご）・護衛（ごえい）・救護（きゅうご）・救護班（きゅうごはん）","言","","","未校正",""
"効","5年","6級から","8","コウ","き（く）","効果（こうか）・効力（こうりょく）・時効（じこう）・効能（こうのう）","力","","","未校正","利く"
"厚","5年","6級から","9","コウ","あつ（い）","厚生（こうせい）・温厚（おんこう）・厚紙（あつがみ）・厚顔（こうがん）・厚情（こうじょう）","厂","","","未校正",""
"耕","5年","6級から","10","コウ","たがや（す）","耕作（こうさく）・農耕（のうこう）・耕地（こうち）","耒","","","未校正",""
"航","5年","6級から","10","コウ","","航空（こうくう）・航海（こうかい）・就航（しゅうこう）","舟","","","未校正",""
"鉱","5年","6級から","13","コウ","","鉱山（こうざん）・炭鉱（たんこう）・鉱物（こうぶつ）・鉄鉱（てっこう）","金","","","未校正",""
"構","5年","6級から","14","コウ","かま（える）・かま（う）","構造（こうぞう）・結構（けっこう）・構内（こうない）","木","","","未校正",""
"興","5年","6級から","16","コウ・キョウ","おこ（る）・おこ（す）","興味（きょうみ）・興奮（こうふん）・復興（ふっこう）・興行（こうぎょう）・余興（よきょう）","","","","未校正","起こる・起こす"
"講","5年","6級から","17","コウ","","講演（こうえん）・講義（こうぎ）","言","","","未校正",""
"告","5年","6級から","7","コク","つ（げる）","報告（ほうこく）・警告（けいこく）・申告（しんこく）・告白（こくはく）・告示（こくじ）","口","","","未校正",""
"混","5年","6級から","11","コン","ま（じる）・ま（ざる）・ま（ぜる）・こ（む）","混乱（こんらん）・混雑（こんざつ）・混合（こんごう）・混同（こんどう）・混迷（こんめい）","氵","水","","未校正","交じる・交ざる・交ぜる・込む"
"査","5年","6級から","9","サ","","調査（ちょうさ）・検査（けんさ）・査察（ささつ）","木","","","未校正",""
"再","5年","6級から","6","サイ・サ","ふたた（び）","再度（さいど）・再三（さいさん）・再選（さいせん）・再来週（さらいしゅう）・再来年（さらいねん）","","","","未校正",""
"災","5年","6級から","7","サイ","わざわ（い）","災害（さいがい）・火災（かさい）・災難（さいなん）","","","","未校正",""
"妻","5年","6級から","8","サイ","つま","夫妻（ふさい）・人妻（ひとづま）・妻子（さいし）・新妻（にいづま）・良妻（りょうさい）","女","","","未校正",""
"採","5年","6級から","11","サイ","と（る）","採用（さいよう）・採点（さいてん）・採集（さいしゅう）・採光（さいこう）","扌","手","","未校正","取る・執る・捕る"
"際","5年","6級から","14","サイ","きわ","国際（こくさい）・交際（こうさい）・窓際（まどぎわ）・際限（さいげん）","⻖","阜","","未校正",""
"在","5年","6級から","6","ザイ","あ（る）","現在（げんざい）・存在（そんざい）・在宅（ざいたく）・在留（ざいりゅう）・在郷（ざいごう）","土","","","未校正","有る"
"財","5年","6級から","10","ザイ・サイ","","財産（ざいさん）・財布（さいふ）・文化財（ぶんかざい）・財宝（ざいほう）・私財（しざい）","貝","","","未校正",""
"罪","5年","6級から","13","ザイ","つみ","犯罪（はんざい）・謝罪（しゃざい）・罪状（ざいじょう）・罪科（ざいか）・罪業（ざいごう）","罒","网","","未校正",""
